Designator,Mid X,Mid Y,Rotation,Layer
R39,99.657282,-62.791006,90.0,top
R4_2,105.475912,-99.0874,270.0,top
R4,93.717482,-34.823006,180.0,top
R40,119.127882,-61.936806,90.0,top
R41,119.627482,-38.887006,0.0,top
R42,119.627482,-40.411006,0.0,top
R43,119.127882,-59.521806,270.0,top
R44,114.547482,-51.333006,0.0,top
R45,36.7304,-63.9318,180.0,top
R46,35.2044,-83.273165,0.0,top
R47,37.5666,-83.273165,180.0,top
R48,30.861,-84.085965,270.0,top
R49,44.8056,-83.273165,180.0,top
R5_2,108.574712,-98.1456,180.0,top
R5,112.322782,-31.485806,90.0,top
R50,40.5384,-83.273165,180.0,top
R51,45.8978,-70.1294,90.0,top
R52,61.850578,-83.007095,180.0,top
R53,42.7228,-83.273165,180.0,top
R54,54.1274,-66.3194,0.0,top
R55,40.7182,-64.008,0.0,top
R56,55.3974,-64.3402,90.0,top
R57,77.755337,-69.85,90.0,top
R58,68.587937,-63.9318,180.0,top
R59,87.254937,-64.3402,90.0,top
R6_2,108.576712,-97.1042,180.0,top
R6,111.123982,-34.701006,270.0,top
R60,72.575737,-64.008,0.0,top
R61,86.086537,-66.2178,180.0,top
R62,100.323482,-64.287006,180.0,top
R63,109.619882,-69.849606,90.0,top
R64,104.893482,-64.287006,0.0,top
R65,110.991482,-64.795006,90.0,top
R66,117.951082,-66.217406,180.0,top
R67,119.127882,-64.402606,90.0,top
R68,36.7304,-112.102165,180.0,top
R69,29.7434,-91.604365,90.0,top
R7_2,105.196512,-107.0102,180.0,top
R7,112.393982,-35.209006,90.0,top
R70,61.598578,-91.617695,90.0,top
R71,55.3974,-110.044765,90.0,top
R72,41.4528,-106.996765,180.0,top
R73,38.225,-107.022165,180.0,top
R74,46.609,-111.465165,90.0,top
R75,55.3974,-107.629765,270.0,top
R76,55.3974,-112.510565,90.0,top
R77,40.7182,-112.178365,0.0,top
R78,46.609,-108.923165,90.0,top
R79,68.585578,-112.115495,180.0,top
R8_2,101.968712,-107.0356,180.0,top
R8,112.393982,-28.052406,90.0,top
R80,73.307978,-107.010095,180.0,top
R81,78.464178,-111.478495,90.0,top
